City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,brandfort,-28.7001,26.4597,56.61,36.0,2.0,6.93,ZA,1717089706
1,idri,27.5,13.2667,98.04,9.0,0.0,8.63,LY,1717089707
2,san andros,,,,,,,,{}
3,tiksi,71.6872,128.8694,36.81,88.0,55.0,2.57,RU,1717089474
4,thinadhoo,0.5333,72.9333,84.31,81.0,83.0,19.46,MV,1717089709
5,akonolinga,3.7667,12.25,71.96,97.0,94.0,5.99,CM,1717089709
6,flin flon,54.7682,-101.865,57.04,100.0,100.0,5.75,CA,1717089637
7,puerto san carlos,,,,,,,,{}
8,cabo san lucas,22.8909,-109.9124,96.1,55.0,0.0,5.75,MX,1717089504
9,edinburgh of the seven seas,-37.0676,-12.3116,53.74,61.0,16.0,13.33,SH,1717089712
10,hamilton,39.1834,-84.5333,73.26,59.0,75.0,6.91,US,1717089532
11,sidi salim,31.271,30.7867,71.01,54.0,19.0,8.99,EG,1717089713
12,burang,30.25,81.1667,37.94,80.0,80.0,8.14,CN,1717089714
13,isafjordur,66.0755,-23.124,51.84,50.0,20.0,11.5,IS,1717089608
14,bredasdorp,-34.5322,20.0403,55.35,79.0,76.0,8.99,ZA,1717089420
15,avarua,-21.2078,-159.775,78.85,89.0,75.0,3.44,CK,1717089440
16,jbail,34.1211,35.6481,69.08,80.0,20.0,6.17,LB,1717089716
17,ulanhot,46.0833,122.0833,53.53,75.0,98.0,9.64,CN,1717089717
18,west island,-12.1568,96.8225,80.58,83.0,100.0,11.5,CC,1717089393
19,waitangi,-43.9535,-176.5597,51.82,86.0,89.0,15.99,NZ,1717089680
20,anadyr,64.75,177.4833,36.1,64.0,0.0,4.47,RU,1717089575
21,georgetown,5.4112,100.3354,85.95,80.0,20.0,3.44,MY,1717089668
22,adamstown,-25.066,-130.1015,71.51,83.0,64.0,18.72,PN,1717089698
23,vadso,70.0744,29.7487,76.08,59.0,0.0,10.36,NO,1717089577
24,ilulissat,69.2167,-51.1,32.02,69.0,40.0,6.91,GL,1717089379
25,st. john's,47.5649,-52.7093,76.39,50.0,40.0,16.11,CA,1717089317
26,alotau,,,,,,,,{}
27,yaren,-0.5472,166.916,84.0,71.0,42.0,13.29,NR,1717089723
28,new norfolk,-42.7826,147.0587,60.93,63.0,100.0,10.02,AU,1717089454
29,albany,42.6001,-73.9662,67.8,48.0,75.0,5.01,US,1717089430
30,port mathurin,-19.6833,63.4167,76.57,79.0,26.0,23.82,MU,1717089725
31,rio grande,-32.035,-52.0986,64.51,68.0,8.0,1.16,BR,1717089725
32,mostaganem,35.9311,0.0892,78.21,51.0,1.0,10.2,DZ,1717089482
33,invercargill,-46.4,168.35,53.02,70.0,100.0,5.99,NZ,1717089690
34,jamestown,42.097,-79.2353,60.53,50.0,40.0,9.22,US,1717089287
35,nova vicosa,-17.8919,-39.3719,75.9,84.0,31.0,13.22,BR,1717089493
36,turpan,42.9333,89.1667,81.21,24.0,74.0,3.36,CN,1717089729
37,east end,34.5507,-92.341,82.9,68.0,21.0,8.55,US,1717089729
38,oroqen zizhiqi,50.5667,123.7167,41.0,65.0,0.0,3.6,CN,1717089730
39,port-aux-francais,-49.35,70.2167,36.77,76.0,27.0,38.25,TF,1717089680
40,richards bay,-28.783,32.0377,75.78,45.0,0.0,13.69,ZA,1717089501
41,blackmans bay,-43.0167,147.3167,59.74,52.0,100.0,10.0,AU,1717089700
42,thompson,55.7435,-97.8558,73.56,43.0,40.0,8.05,CA,1717089502
43,grytviken,-54.2811,-36.5092,29.59,81.0,98.0,15.5,GS,1717089697
44,tshabong,-26.05,22.45,68.23,21.0,1.0,11.12,BW,1717089734
45,siracusa,37.0881,15.2792,72.99,76.0,44.0,8.3,IT,1717089734
46,olyokminsk,60.3736,120.4264,60.21,54.0,24.0,4.36,RU,1717089735
47,puerto natales,-51.7236,-72.4875,39.65,75.0,0.0,2.3,CL,1717089451
48,iskateley,67.6803,53.1512,28.02,87.0,93.0,13.0,RU,1717089650
49,alice springs,-23.7,133.8833,56.75,100.0,100.0,0.0,AU,1717089558
50,wenshui,28.4506,106.5267,58.78,88.0,96.0,1.54,CN,1717089737
51,longyearbyen,78.2186,15.6401,37.24,93.0,100.0,3.44,SJ,1717089687
52,iqaluit,63.7506,-68.5145,37.13,69.0,75.0,4.61,CA,1717089390
53,mejit,10.2753,170.8646,81.91,77.0,97.0,12.82,MH,1717089548
54,college,64.8569,-147.8028,55.38,81.0,100.0,11.5,US,1717089639
55,bilibino,68.0546,166.4372,26.91,78.0,87.0,9.04,RU,1717089684
56,tilcara,-23.5776,-65.3509,61.52,10.0,13.0,1.3,AR,1717089741
57,udachny,66.4167,112.4,48.45,70.0,92.0,24.76,RU,1717089383
58,utrik,11.2278,169.8474,81.81,79.0,100.0,12.21,MH,1717089666
59,dudinka,69.4058,86.1778,28.67,92.0,92.0,5.99,RU,1717089473
60,sondrio,46.169,9.8692,66.65,92.0,100.0,1.01,IT,1717089744
61,tweed heads,-28.1817,153.547,65.21,99.0,40.0,3.44,AU,1717089744
62,margaret river,-33.95,115.0667,60.64,78.0,40.0,10.49,AU,1717089366
63,hammerfest,70.6634,23.6821,68.45,60.0,0.0,4.61,NO,1717089396
64,port saint john's,-31.6229,29.5448,72.36,47.0,2.0,7.56,ZA,1717089746
65,qaqortoq,60.7167,-46.0333,39.78,67.0,96.0,5.21,GL,1717089425
66,bikenibeu village,1.3673,173.1241,82.36,78.0,20.0,0.0,KI,1717089473
67,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,75.0,75.0,6.71,RU,1717089631
68,bethel,41.3712,-73.414,68.36,58.0,75.0,14.97,US,1717089685
69,olonkinbyen,70.9221,-8.7187,31.6,87.0,100.0,8.75,SJ,1717089404
70,muynoq,43.7683,59.0214,68.81,47.0,0.0,9.95,UZ,1717089750
71,justo daract,-33.8594,-65.1828,60.17,38.0,13.0,4.65,AR,1717089750
72,masterton,-40.9597,175.6575,52.88,95.0,100.0,4.14,NZ,1717089751
73,taiohae,,,,,,,,{}
74,talnakh,69.4865,88.3972,28.2,90.0,100.0,5.57,RU,1717089699
75,constantia,44.1833,28.65,68.7,83.0,37.0,10.56,RO,1717089753
76,ribeira grande,38.5167,-28.7,68.4,77.0,20.0,13.0,PT,1717089754
77,weno,7.4515,151.8468,84.15,94.0,75.0,5.75,FM,1717089442
78,al jawf,29.5,38.75,85.06,12.0,0.0,12.97,SA,1717089610
79,takoradi,4.8845,-1.7554,84.16,74.0,64.0,12.73,GH,1717089755
80,labytnangi,66.6572,66.4183,28.38,80.0,36.0,9.93,RU,1717089480
81,colares,38.7992,-9.4469,82.08,69.0,20.0,21.85,PT,1717089664
82,papatowai,-46.5619,169.4708,53.31,68.0,100.0,8.41,NZ,1717089367
83,hermanus,-34.4187,19.2345,52.81,77.0,63.0,8.01,ZA,1717089397
84,el calafate,-50.3408,-72.2768,35.6,71.0,92.0,0.65,AR,1717089729
85,howrah,22.5892,88.3103,87.8,89.0,75.0,10.36,IN,1717089481
86,sinabang,2.4803,96.3801,80.31,84.0,70.0,2.48,ID,1717089381
87,atafu village,-8.5421,-172.5159,84.52,75.0,7.0,12.3,TK,1717089717
88,twon-brass,4.3151,6.2418,82.13,80.0,100.0,12.91,NG,1717089761
89,puerto ayora,-0.7393,-90.3518,80.56,79.0,87.0,8.59,EC,1717089762
90,covington,39.0837,-84.5086,73.45,59.0,75.0,6.91,US,1717089616
91,kingston,17.997,-76.7936,91.17,70.0,75.0,24.16,JM,1717089695
92,merizo village,13.2658,144.6691,82.13,91.0,100.0,13.56,GU,1717089764
93,ordos,,,,,,,,{}
94,nadi,-17.8,177.4167,73.4,78.0,75.0,12.66,FJ,1717089765
95,mersing,2.4312,103.8405,78.71,100.0,20.0,4.61,MY,1717089766
96,smithers,54.7804,-127.1743,50.32,46.0,40.0,5.75,CA,1717089766
97,sao paulo de olivenca,-3.3783,-68.8725,86.85,51.0,32.0,3.11,BR,1717089767
98,harstad,68.799,16.5293,61.99,66.0,55.0,8.01,NO,1717089441
